event_id,group,month,year,num_events
1,0mega,1,2023,0
2,0mega,2,2023,0
3,0mega,3,2023,12
4,0mega,4,2023,0
5,0mega,5,2023,0
6,0mega,6,2023,0
7,0mega,7,2023,0
8,0mega,8,2023,0
9,0mega,9,2023,0
10,0mega,10,2023,0
11,0mega,11,2023,0
12,0mega,12,2023,0
13,8base,1,2023,4
14,8base,2,2023,20
15,8base,3,2023,0
16,8base,4,2023,0
17,8base,5,2023,0
18,8base,6,2023,0
19,8base,7,2023,0
20,8base,8,2023,1196
21,8base,9,2023,80
22,8base,10,2023,80
23,8base,11,2023,20
24,8base,12,2023,1456
25,Abyss,1,2023,0
26,Abyss,2,2023,0
27,Abyss,3,2023,0
28,Abyss,4,2023,0
29,Abyss,5,2023,0
30,Abyss,6,2023,0
31,Abyss,7,2023,0
32,Abyss,8,2023,48
33,Abyss,9,2023,20
34,Abyss,10,2023,8
35,Abyss,11,2023,40
36,Abyss,12,2023,12
37,Akira,1,2023,356
38,Akira,2,2023,16
39,Akira,3,2023,0
40,Akira,4,2023,0
41,Akira,5,2023,0
42,Akira,6,2023,0
43,Akira,7,2023,0
44,Akira,8,2023,112
45,Akira,9,2023,0
46,Akira,10,2023,16
47,Akira,11,2023,20
48,Akira,12,2023,8
49,AlphaVM,1,2023,0
50,AlphaVM,2,2023,0
51,AlphaVM,3,2023,0
52,AlphaVM,4,2023,4
53,AlphaVM,5,2023,0
54,AlphaVM,6,2023,32
55,AlphaVM,7,2023,80
56,AlphaVM,8,2023,208
57,AlphaVM,9,2023,300
58,AlphaVM,10,2023,236
59,AlphaVM,11,2023,264
60,AlphaVM,12,2023,144
61,Arvin Club,1,2023,0
62,Arvin Club,2,2023,0
63,Arvin Club,3,2023,0
64,Arvin Club,4,2023,0
65,Arvin Club,5,2023,0
66,Arvin Club,6,2023,0
67,Arvin Club,7,2023,0
68,Arvin Club,8,2023,0
69,Arvin Club,9,2023,28
70,Arvin Club,10,2023,8
71,Arvin Club,11,2023,0
72,Arvin Club,12,2023,0
73,Babuk,1,2023,0
74,Babuk,2,2023,0
75,Babuk,3,2023,0
76,Babuk,4,2023,0
77,Babuk,5,2023,0
78,Babuk,6,2023,0
79,Babuk,7,2023,0
80,Babuk,8,2023,0
81,Babuk,9,2023,0
82,Babuk,10,2023,0
83,Babuk,11,2023,0
84,Babuk,12,2023,0
85,Bianlian,1,2023,0
86,Bianlian,2,2023,0
87,Bianlian,3,2023,0
88,Bianlian,4,2023,0
89,Bianlian,5,2023,4
90,Bianlian,6,2023,12
91,Bianlian,7,2023,92
92,Bianlian,8,2023,48
93,Bianlian,9,2023,44
94,Bianlian,10,2023,52
95,Bianlian,11,2023,28
96,Bianlian,12,2023,56
97,BlackBasta,1,2023,0
98,BlackBasta,2,2023,0
99,BlackBasta,3,2023,0
100,BlackBasta,4,2023,0
101,BlackBasta,5,2023,4
102,BlackBasta,6,2023,12
103,BlackBasta,7,2023,12
104,BlackBasta,8,2023,8
105,BlackBasta,9,2023,0
106,BlackBasta,10,2023,60
107,BlackBasta,11,2023,312
108,BlackBasta,12,2023,120
109,Cactus,1,2023,0
110,Cactus,2,2023,0
111,Cactus,3,2023,0
112,Cactus,4,2023,0
113,Cactus,5,2023,0
114,Cactus,6,2023,0
115,Cactus,7,2023,0
116,Cactus,8,2023,148
117,Cactus,9,2023,272
118,Cactus,10,2023,72
119,Cactus,11,2023,344
120,Cactus,12,2023,1012
121,Cl0p,1,2023,0
122,Cl0p,2,2023,192
123,Cl0p,3,2023,316
124,Cl0p,4,2023,16
125,Cl0p,5,2023,0
126,Cl0p,6,2023,0
127,Cl0p,7,2023,0
128,Cl0p,8,2023,1384
129,Cl0p,9,2023,2344
130,Cl0p,10,2023,720
131,Cl0p,11,2023,4284
132,Cl0p,12,2023,44
133,Cloak,1,2023,0
134,Cloak,2,2023,0
135,Cloak,3,2023,0
136,Cloak,4,2023,0
137,Cloak,5,2023,0
138,Cloak,6,2023,0
139,Cloak,7,2023,0
140,Cloak,8,2023,0
141,Cloak,9,2023,0
142,Cloak,10,2023,0
143,Cloak,11,2023,0
144,Cloak,12,2023,36
145,Cuba,1,2023,8
146,Cuba,2,2023,0
147,Cuba,3,2023,0
148,Cuba,4,2023,0
149,Cuba,5,2023,12
150,Cuba,6,2023,0
151,Cuba,7,2023,12
152,Cuba,8,2023,0
153,Cuba,9,2023,0
154,Cuba,10,2023,8
155,Cuba,11,2023,16
156,Cuba,12,2023,0
157,D#nut,1,2023,0
158,D#nut,2,2023,0
159,D#nut,3,2023,0
160,D#nut,4,2023,0
161,D#nut,5,2023,0
162,D#nut,6,2023,0
163,D#nut,7,2023,0
164,D#nut,8,2023,0
165,D#nut,9,2023,36
166,D#nut,10,2023,20
167,D#nut,11,2023,0
168,D#nut,12,2023,0
169,Daixin,1,2023,0
170,Daixin,2,2023,0
171,Daixin,3,2023,0
172,Daixin,4,2023,0
173,Daixin,5,2023,0
174,Daixin,6,2023,0
175,Daixin,7,2023,0
176,Daixin,8,2023,0
177,Daixin,9,2023,40
178,Daixin,10,2023,0
179,Daixin,11,2023,8
180,Daixin,12,2023,4
181,Dunghill,1,2023,0
182,Dunghill,2,2023,0
183,Dunghill,3,2023,0
184,Dunghill,4,2023,0
185,Dunghill,5,2023,0
186,Dunghill,6,2023,0
187,Dunghill,7,2023,0
188,Dunghill,8,2023,0
189,Dunghill,9,2023,56
190,Dunghill,10,2023,0
191,Dunghill,11,2023,0
192,Dunghill,12,2023,48
193,Everest,1,2023,0
194,Everest,2,2023,0
195,Everest,3,2023,0
196,Everest,4,2023,4
197,Everest,5,2023,0
198,Everest,6,2023,0
199,Everest,7,2023,0
200,Everest,8,2023,4
201,Everest,9,2023,20
202,Everest,10,2023,4
203,Everest,11,2023,8
